Word,Length,SUBTLCD,Pron
who've,6,NULL,"h""uv"
why'd,5,NULL,"w""aId"
why'll,6,NULL,"""hwaI@l"
why're,6,NULL,"""hwaI@`"
why's,5,NULL,"hw""aIz"
why've,6,NULL,NULL
wickerwork,10,NULL,"w""I.k@`.w%3`k"
widths,6,NULL,"w""ItTs"
wife's,6,NULL,"w""aIfs"
Wilbur,6,NULL,"w""Il.b@`"
wildfowl,8,NULL,"w""aIld.f%aUl"
Wilfred,7,NULL,"w""Il.frId"
Wilhelm,7,NULL,"w""Il.hElm"
Williamsburg,12,NULL,"w""Il.j@mz.b3`g"
Willie's,8,NULL,"w""Iliz"
Willis,6,NULL,"w""I.lIs"
Wilsonian,9,NULL,"wIl""soni@n"
Wilson's,8,NULL,"w""Il.sn=z"
windbreaks,10,NULL,"w""Ind.br%eks"
winders,7,NULL,"w""aIn4.@`z"
windsleeve,10,NULL,"""wInd.sliv"
winepress,9,NULL,"w""aIn.pr%Es"
wine's,6,NULL,"w""aInz"
wineskin,8,NULL,"w""aIn.sk%In"
wingback,8,NULL,"w""IN.b%ak"
Winston,7,NULL,"w""In.st@n"
wirecutters,11,NULL,"w""aIr.k%V4.@`z"
wireworm,8,NULL,"w""aIr.w%3`m"
Wisconsin's,11,NULL,"w%Isk""Ans@nz"
wisecracked,11,NULL,"w""aIz.kr%akt"
witchdoctor,11,NULL,"wItS.""dAkt@`"
wittingly,9,NULL,"w""I4.IN.li"
wive's,6,NULL,"""waIvz"
Wolfgang,8,NULL,"w""Ulf.gaN"
woman's,7,NULL,"w""U.m@nz"
women's,7,NULL,"w""I.mInz"
ward's,6,NULL,"w""Ordz"
warmish,7,NULL,"w""Orm.IS"
warningly,9,NULL,"w""Orn.IN.li"
Warren's,8,NULL,"w""O.r@nz"
war's,5,NULL,"w""Orz"
Warsaw's,8,NULL,"w""Ors%Oz"
wartorn,7,NULL,"w""Or.t%Orn"
washings,8,NULL,"w""AS.INz"
Washington's,12,NULL,"w""A.SIN.t@nz"
wasn't,6,NULL,"w""Vz.n=t"
watchstrap,10,NULL,"w""AtS.str%ap"
waterborne,10,NULL,"w""O.4@`.b%Orn"
watercannon,11,NULL,"w""O.4@`.k%a.n@n"
watercolorists,14,NULL,"""wOt@`.""k@l@`Ists"
watercourse,11,NULL,"w""O.4@`.k%Ors"
waterpower,10,NULL,"w""O.4@`.p%aUr"
water's,7,NULL,"w""O.4@`z"
watersheds,10,NULL,"w""O.4@`.S%Edz"
waterside,9,NULL,"w""O.4@`.s%aId"
watertable,10,NULL,"w""O.4@`.t%e.bl="
waterwings,10,NULL,"w""O.4@`.w%INz"
Watson's,8,NULL,"w""At.sn=z"
way's,5,NULL,"w""ez"
wearisome,9,NULL,"w""I.rI.sm="
weatherstrip,12,NULL,"w""E.D@`.str%Ip"
Webster's,9,NULL,"w""Eb.st@`z"
we'd,4,NULL,"w""id"
Wednesday's,11,NULL,"w""Enz.dez"
week's,6,NULL,"w""iks"
weirs,5,NULL,"w""Irz"
we'll,5,NULL,"w""il"
wellknown,9,NULL,"w%El.n""on"
we're,5,NULL,"w""Ir"
weren't,7,NULL,"w""3`nt"
Wesley's,8,NULL,"w""Ez.liz"
Westchester,11,NULL,"w""Est.tS%E.st@`"
westernize,10,NULL,"w""Est.@`n.aIz"
west's,6,NULL,"w""Ests"
wetly,5,NULL,"w""Et.li"
we've,5,NULL,"w""iv"
what'd,6,NULL,"hw""V4.@d"
what'll,7,NULL,"hw""V4.l="
what're,7,NULL,"hw""V4.@`"
what's,6,NULL,"hw""Vts"
what've,7,NULL,"""hw@t@v"
when'd,6,NULL,"""hwEn@d"
when'll,7,NULL,"""hwEn@l"
when're,7,NULL,"""hwEn@`"
when's,6,NULL,"hw""Enz"
when've,7,NULL,NULL
whereat,7,NULL,"hw%Er.""at"
vicelike,8,NULL,"v""aIs.l%aIk"
Vicky,5,NULL,"v""I.ki"
Vic's,5,NULL,"v""Iks"
victim's,8,NULL,"v""Ik.tImz"
Victoria's,10,NULL,"vIk.t""O.ri@z"
Victor's,8,NULL,"v""Ikt@`z"
victual,7,NULL,"v""I.4l="
Vienna's,8,NULL,"vi.""E.n@z"
viewless,8,NULL,"vj""u.l@s"
vignette,8,NULL,"vi.nj""Et"
vilifying,9,NULL,"v""I.l@.f%aI.IN"
Vince,5,NULL,"v""Ins"
vintner,7,NULL,"v""Int.n@`"
violable,8,NULL,"v""aI@.l@.bl="
viola's,7,NULL,"vi.""o.l@z"
Virginia's,10,NULL,"v@`.dZ""I.nj@z"
virulence,9,NULL,"v""I.r@.l@ns"
vitalize,8,NULL,"v""aI.4l=.aIz"
visualizes,10,NULL,"v""I.Zu@l.%aIz.@z"
Vivian's,8,NULL,"v""I.vi@nz"
vivify,6,NULL,"v""I.v@.faI"
vocabularies,12,NULL,"vo.k""a.bj@.l%E.riz"
vocalic,7,NULL,"vo.k""al.Ik"
vocalism,8,NULL,"""vok@%lIz@m"
vocationally,12,NULL,"vo.k""e.Sn=.@l.i"
vociferate,10,NULL,"vo.s""I.f@`.ret"
vociferation,12,NULL,"vo.s%I.f@`.r""e.Sn="
vociferously,12,NULL,"vo.s""I.f@`.r@s.li"
vociferousness,14,NULL,"vo.s""I.f@`.r@s.n@s"
voice's,7,NULL,"v""OIs@z"
volatilization,14,NULL,"v%A.l@.4l=.@z.""e.Sn="
volumetric,10,NULL,"v%A.lj@.m""E.trIk"
volumetrically,14,NULL,"v%A.lj@.m""E.trIk.li"
voraciously,11,NULL,"vO.r""e.S@s.li"
votary,6,NULL,"v""o.4@`.ri"
vulgarize,9,NULL,"v""Vl.g@`.aIz"
vulpine,7,NULL,"v""Vl.paIn"
Wabash,6,NULL,"w""O.baS"
Waco,4,NULL,"w""e.ko"
Wagner's,8,NULL,"w""agn@`z"
wagonette,9,NULL,"w%a.g@n.""Et"
wagtail,7,NULL,"w""ag.t%el"
wailed,6,NULL,"w""eld"
wainscoted,10,NULL,"w""en.sk@4.@d"
wakening,8,NULL,"w""ek.@n.IN"
walkover,8,NULL,"w""Ok.%o.v@`"
Wallace,7,NULL,"w""A.l@s"
Wally's,7,NULL,"w""A.liz"
Walters,7,NULL,"w""Ol.t@`z"
Walter's,8,NULL,"w""Ol.t@`z"
Walton,6,NULL,"w""Ol.tn="
urbanism,8,NULL,"""3`.b@n.%I.zm="
urbanity,8,NULL,"3`.b""an.@.4i"
urbanize,8,NULL,"""3`.b@n.aIz"
urbanized,9,NULL,"""3`.b@n.aIzd"
urgencies,9,NULL,"""3`.dZ@n.siz"
urgings,7,NULL,"""3`dZ.INz"
Uruguayan,9,NULL,"j%U.r@.gw""aI@n"
usages,6,NULL,"j""us.IdZ.@z"
utilitarianism,14,NULL,"ju.t%I.l@.t""E.ri@n.%I.zm="
utopias,7,NULL,"ju.t""o.pi@z"
vacuity,7,NULL,"va.kj""u@.4i"
valence,7,NULL,"v""e.l@ns"
Valerie,7,NULL,"v""a.l@`.ri"
validly,7,NULL,"v""a.lId.li"
valley's,8,NULL,"v""aliz"
valuations,10,NULL,"v%a.lju.""e.Sn=z"
vantagepoint,12,NULL,"v""an.4@dZ.p%OInt"
varicolored,11,NULL,"""vErI%k@l@`d"
vegetate,8,NULL,"v""E.dZ@.tet"
vehemence,9,NULL,"v""i@.m@ns"
veined,6,NULL,"v""end"
veining,7,NULL,"v""en.IN"
velours,7,NULL,"v@.l""Urz"
vend,4,NULL,"v""End"
venial,6,NULL,"v""i.ni@l"
venturer,8,NULL,"v""En.tS@`.@`"
venturous,9,NULL,"""vEntS@`@s"
veracious,9,NULL,"v@`.r""e.S@s"
verbosity,9,NULL,"v@`.b""As.@.4i"
veridical,9,NULL,"v@""rIdIk@l"
verisimilar,11,NULL,NULL
Vermont's,9,NULL,"v@`m""Ants"
versify,7,NULL,"v""3`s.@.faI"
vesicular,9,NULL,"vI.s""I.kj@.l@`"
veteran's,9,NULL,"v""E.4@`.r@nz"
vibrancy,8,NULL,"v""aI.br@ns.i"
unmagnified,11,NULL,"%Vn.m""ag.n@.faId"
unmalicious,11,NULL,"%Vn.m@.l""I.S@s"
unmanageably,12,NULL,"Vn.m""a.n@dZ.@.bli"
unmanaged,9,NULL,"Vn.m""a.n@dZd"
unmated,7,NULL,"Vn.m""e4.@d"
unmeasured,10,NULL,"Vn.m""E.Zrd"
unmoved,7,NULL,"Vn.m""uvd"
unmurmuring,11,NULL,"Vn.m""3`.m@`.IN"
unmeritorious,13,NULL,"%Vn.mE.r@t.""O.ri@s"
unmethodical,12,NULL,"%Vn.m@.T""A4.Ik.l="
unmindful,9,NULL,"Vn.m""aInd.fl="
unnaturalness,13,NULL,"Vn.n""atS.r@l.n@s"
unpaintable,11,NULL,"Vn.p""en4.@.bl="
unpaired,8,NULL,"Vn.p""Erd"
unnourished,11,NULL,"Vn.n""3`.rISt"
uno,3,NULL,"j""u.no"
unpadded,8,NULL,"%Vn.p""a4.@d"
unperceived,11,NULL,"%Vn.p@`.s""ivd"
unperformed,11,NULL,"%Vn.p@`.f""Ormd"
unplayable,10,NULL,"Vn.pl""e@.bl="
unpicturesque,13,NULL,"%Vn.pIk.tS@`.""Esk"
unplowed,8,NULL,"%Vn.pl""aUd"
unplumbed,9,NULL,"Vn.pl""Vmd"
unready,7,NULL,"Vn.r""E.4i"
unproblematic,13,NULL,"%Vn.prA.bl@m.""a.4Ik"
unprocurable,12,NULL,"%Vn.pr@.kj""Ur.@.bl="
unquenched,10,NULL,"Vn.kw""EntSt"
unprovocative,13,NULL,"%Vn.pr@.v""Ak.@.4Iv"
unrealism,9,NULL,"@n""ri@lIzm="
unrealistically,15,NULL,"%Vn.ri@l.""Ist.Ik.li"
unsolder,8,NULL,"Vn.s""A.4@`"
unreeling,9,NULL,"Vn.r""il.IN"
unreflective,12,NULL,"%Vn.r@.fl""Ekt.Iv"
unreliability,13,NULL,"%Vn.rI.l%aI@.b""Il.@.4i"
unrifled,8,NULL,"%Vn.r""aI.fl=d"
unreserved,10,NULL,"%Vn.rI.z""3`vd"
unservile,9,NULL,"%Vn.s""3`.vl="
unserviceable,13,NULL,"Vn.s""3`.v@s.@.bl="
unsharpened,11,NULL,"Vn.S""Arp.@nd"
unshed,6,NULL,"Vn.S""Ed"
unsloped,8,NULL,"%Vn.sl""opt"
unsmilingly,11,NULL,"Vn.sm""aIl.IN.li"
unstapled,9,NULL,"%Vn.st""e.pl=d"
unstilted,9,NULL,"Vn.st""Ilt.@d"
unstressed,10,NULL,"Vn.str""Est"
unsuitably,10,NULL,"Vn.s""u4.@.bli"
unsurmountable,14,NULL,"%Vn.s@`.m""aUn4.@.bl="
unsyllabic,10,NULL,"%Vn.sI.l""a.bIk"
untellable,10,NULL,"Vn.t""El.@.bl="
unthaw,6,NULL,"Vn.T""O"
untenanted,10,NULL,"Vn.t""E.n@n4.@d"
unthematic,10,NULL,"%Vn.TIm.""a.4Ik"
untrustworthiness,17,NULL,"Vn.tr""Vst.w%3`.Di.n@s"
unvarying,9,NULL,"Vn.v""E.ri.IN"
unversed,8,NULL,"Vn.v""3`st"
unvoiced,8,NULL,"Vn.v""OIst"
unwaivering,11,NULL,"%Vn.w""ev.@`.IN"
unwomanly,9,NULL,"Vn.w""U.m@n.li"
unwonted,8,NULL,"Vn.w""On4.@d"
unwounded,9,NULL,"Vn.w""un4.@d"
upholders,9,NULL,"%Vp.h""old.@`z"
upholster,9,NULL,"Vp.h""ol.st@`"
upmost,6,NULL,"""Vp.m%ost"
upturn,6,NULL,"""Vp.t%3`n"
underhandedness,15,NULL,"%Vn.4@`.h""an4.@d.n@s"
underhung,9,NULL,"%@nd@`""h@N"
underlie,8,NULL,"%Vn.4@`.l""aI"
understates,11,NULL,"%Vn.4@`.st""ets"
understock,10,NULL,"""@nd@`%stAk"
undermentioned,14,NULL,"%Vn.4@`.m""En.Sn=d"
undernourish,12,NULL,"%Vn.4@`.n""3`.rIS"
underpin,8,NULL,"%Vn.4@`.p""In"
underpins,9,NULL,"%Vn.4@`.p""Inz"
underpopulated,14,NULL,"%Vn.4@`.p""A.pj@.l%e4.@d"
underproduction,15,NULL,"%Vn.4@`.pr@.d""Vk.Sn="
underproof,10,NULL,"""@nd@`""pruf"
underquote,10,NULL,"%@nd@`""kwot"
undersign,9,NULL,"%Vn.d""Er.s%aIn"
understanded,12,NULL,"%Vn.4@`.st""and.@d"
understandingly,15,NULL,"%Vn.4@`.st""an4.IN.li"
understructure,14,NULL,"""@nd@`%str@ktS@`"
undertakes,10,NULL,"%Vn.4@`.t""eks"
undervaluation,14,NULL,"%Vn.4@`.v%a.lju.""e.Sn="
undervalue,10,NULL,"%Vn.4@`.v""a.lju"
underwood's,11,NULL,"""Vn.4@`.w%Udz"
undifferentiated,16,NULL,"%Vn.dI.f@`.""En.Si.%e4.@d"
undismayed,10,NULL,"%Vn.dI.sm""ed"
undreamt,8,NULL,"Vn.dr""Emt"
uneconomic,10,NULL,"%Vn.i.k@.n""A.mIk"
uneconomical,12,NULL,"%Vn.i.k@.n""A.mIk.l="
unexceptionable,15,NULL,"%Vn.Ik.s""Ep.Sn=.@.bl="
unexpended,10,NULL,"%Vn.Ik.sp""En4.@d"
unfoldment,10,NULL,NULL
unfaltering,11,NULL,"%Vn.f""Ol.t@`.IN"
unfalteringly,13,NULL,"Vn.f""Ol.t@`.IN.li"
unfeigned,9,NULL,"Vn.f""end"
unfenced,8,NULL,"Vn.f""Enst"
unfertile,9,NULL,"%Vn.f""3`.4l="
unfrequented,12,NULL,"%Vn.frI.kw""En4.@d"
unfrocking,10,NULL,"Vn.fr""Ak.IN"
unfrosted,9,NULL,"%Vn.fr""Ost.@d"
unfruitful,10,NULL,"Vn.fr""ut.fl="
unglazed,8,NULL,"Vn.gl""ezd"
ungratified,11,NULL,"Vn.gr""a.4@.faId"
ungrudging,10,NULL,"Vn.gr""VdZ.IN"
unharmonious,12,NULL,"%Vn.hAr.m""o.ni@s"
unheeding,9,NULL,"Vn.h""i4.IN"
unhesitant,10,NULL,"Vn.h""E.z@.4@nt"
unhurried,9,NULL,"Vn.h""3`.rid"
unifications,12,NULL,"j%u.n@.f@.k""e.Sn=z"
unionization,12,NULL,"j%u.nj@n.@z.""e.Sn="
unimposing,10,NULL,"%Vn.Im.p""oz.IN"
uninfluenced,12,NULL,"Vn.""In.flu@nst"
uninitiate,10,NULL,"%Vn.I.n""I.Si.et"
uninjectable,12,NULL,"%Vn.In.dZ""Ekt.@.bl="
uninominal,10,NULL,"j%u.nI.n""A.m@.nl="
unitized,8,NULL,"j""u.nIt.aIzd"
union's,7,NULL,"j""u.nj@nz"
Unitarians,10,NULL,"j%u.nIt.""E.ri@nz"
Unitarianism,12,NULL,"j%u.nIt.""E.ri@n.%I.zm="
univalent,9,NULL,"j%u.nI.v""e.l@nt"
universalistic,14,NULL,"%Vn""aIv@`.s%Al%Is.t%Ik"
universality,12,NULL,"j%u.n@.v3`s.""al.@.4i"
universalize,12,NULL,"j%u.n@.v""3`s.l=.aIz"
university's,12,NULL,"j%u.n@.v""3`.s@.4iz"
unjustifiable,13,NULL,"Vn.dZ""Vst.@.f%aI@.bl="
unlaced,7,NULL,"Vn.l""est"
unlettered,10,NULL,"Vn.l""E.4@`d"
turnings,8,NULL,"t""3`n.INz"
unlined,7,NULL,"@n""laInd"
unlinked,8,NULL,"Vn.l""INkt"
unliterary,10,NULL,"Vn.l""I.4@`.r%E.ri"
unloader,8,NULL,"Vn.l""o4.@`"
turnpikes,9,NULL,"t""3`n.p%aIks"
tuxedoed,8,NULL,"tVk.s""i.4od"
Twain's,7,NULL,"tw""enz"
twinges,7,NULL,"tw""IndZ.@z"
twirlingly,10,NULL,"tw""@`lINli"
twittered,9,NULL,"tw""I.4@`d"
twofaced,8,NULL,"t""u.f%est"
twopence,8,NULL,"t""V.p@ns"
twopenny,8,NULL,"""t@p@ni"
twotiming,9,NULL,"tu.""taImIN"
typescript,10,NULL,"t""aIp.skr%Ipt"
typicality,10,NULL,"t%Ip.I.k""al.@.4i"
typifying,9,NULL,"t""Ip.I.f%aI.IN"
typographic,11,NULL,"t%aIp.@.gr""a.fIk"
typography,10,NULL,"taIp.""A.gr@.fi"
typology,8,NULL,"taIp.""A.l@.dZi"
tyrannize,9,NULL,"t""I.r@.naIz"
Tyson,5,NULL,"t""aI.sn="
ulcerate,8,NULL,"""Vl.s@`.et"
ulcerations,11,NULL,"%Vl.s@`.""e.Sn=z"
ultramarine,11,NULL,"%Vl.tr@.m@`.r""in"
unadopted,9,NULL,"%Vn.@.d""Apt.@d"
ultrasonically,14,NULL,"%Vl.tr@.s""A.nIk.li"
unachieved,10,NULL,"%Vn.@.tS""ivd"
unadjusted,10,NULL,"%Vn.@.dZ""Vst.@d"
unaggressive,12,NULL,"%Vn.@.gr""Es.Iv"
unambiguity,11,NULL,"%Vn.am.bI.gj""u@.4i"
unamused,8,NULL,"%Vn.@.mj""uzd"
unanalyzed,10,NULL,"Vn.""a.nl=.aIzd"
unappeasable,12,NULL,"%Vn.@.p""iz.@.bl="
unappeasably,12,NULL,"%Vn.@.p""iz.@.bli"
unarm,5,NULL,"Vn.""Arm"
unasterisked,12,NULL,"%Vn.""a.st@`.rIskt"
unauthentic,11,NULL,"%Vn.O.T""En.4Ik"
unawareness,11,NULL,"%Vn.@.w""Er.n@s"
unblinkingly,12,NULL,"Vn.bl""INk.IN.li"
unblushing,10,NULL,"Vn.bl""VS.IN"
uncaused,8,NULL,"Vn.k""Ozd"
uncertified,11,NULL,"Vn.s""3`.4@.faId"
uncharged,9,NULL,"Vn.tS""ArdZd"
uncircumcision,14,NULL,"%@ns3`k@m""sIZ@n"
unclad,6,NULL,"Vn.kl""ad"
unclasping,10,NULL,"Vn.kl""asp.IN"
unclenched,10,NULL,"Vn.kl""EntSt"
uncle's,7,NULL,"""@Nk@lz"
uncoiling,9,NULL,"Vn.k""OIl.IN"
uncolored,9,NULL,"%Vn.k""V.l@`d"
uncombable,10,NULL,"%Vn.k""om.%e.bl="
uncomforted,11,NULL,"Vn.k""Vm.f@`4.@d"
uncomplainingly,15,NULL,"%Vn.k@m.pl""en.IN.li"
unconcern,9,NULL,"%Vn.k@n.s""3`n"
uncourageous,12,NULL,"%Vn.k@`.r""edZ.@s"
uncousinly,10,NULL,"%Vn.k""V.zn=.li"
uncritically,12,NULL,"Vn.kr""I.4Ik.li"
uncurled,8,NULL,"Vn.k""3`ld"
undedicated,11,NULL,"Vn.d""E.4@.k%e4.@d"
undepicted,10,NULL,"%Vn.dI.p""Ikt.@d"
underact,8,NULL,"%Vn.4@`.""akt"
undercharge,11,NULL,"%Vn.4@`.tS""ArdZ"
undereducated,13,NULL,"%Vn.4@`.""E.dZ@.k%e4.@d"
underexposure,13,NULL,"%Vn.4@`.Ik.sp""o.Zr"
underfloor,10,NULL,"%Vn.4@`.fl""Or"
transvestitism,14,NULL,"trans""vEstI%tIz@m"
Transylvania,12,NULL,"tr%an.sl=.v""e.ni@"
trapper's,9,NULL,"tr""ap.@`z"
treadle,7,NULL,"tr""E.4l="
treasuries,10,NULL,"tr""E.Zr.iz"
treasury's,10,NULL,"tr""E.Zr.iz"
trefoil,7,NULL,"tr""E.fOIl"
tremulously,11,NULL,"tr""E.mj@.l@s.li"
trestles,8,NULL,"tr""E.sl=z"
tribalism,9,NULL,"tr""aIb.l=.%I.zm="
tribe's,7,NULL,"tr""aIbz"
tribune's,9,NULL,"tr""Ibjunz"
trichrome,9,NULL,"tr""aI.kr%om"
trilled,7,NULL,"tr""Ild"
trilateral,10,NULL,"traI.l""a.4@`.r@l"
trillionth,10,NULL,"tr""I.lj@nT"
trilobite,9,NULL,"tr""I.l@.baIt"
tripartite,10,NULL,"traI.p""Ar.taIt"
triplication,12,NULL,"tr%I.pl@.k""e.Sn="
trisect,7,NULL,"traI.s""Ekt"
Trish,5,NULL,"tr""IS"
trombonist,10,NULL,"trAm.b""on.Ist"
troopships,10,NULL,"tr""up.SIps"
truck's,7,NULL,"tr""@ks"
Truman's,8,NULL,"tr""um@nz"
truncate,8,NULL,"tr""VN.ket"
trustee's,9,NULL,"trVst.""iz"
trustfully,10,NULL,"tr""Vst.fl=.i"
tubeless,8,NULL,"t""ub.l@s"
Tucker's,8,NULL,"t""@k@`z"
Tulane,6,NULL,"tul""en"
tumbrels,8,NULL,"t""Vm.br@lz"
tumidity,8,NULL,NULL
tunafish,8,NULL,"t""u.n@.f%IS"
tuneful,7,NULL,"t""un.fl="
tunefulness,11,NULL,"t""un.fl=.n@s"
turbidity,9,NULL,"t3`.b""I4.@.4i"
turgidity,9,NULL,"t3`.dZ""I4.@.4i"
Turin,5,NULL,"tj""U.rIn"
Tommie,6,NULL,"t""A.mi"
Tommy's,7,NULL,"t""Amiz"
tomorrow's,10,NULL,"t@.m""O.roz"
Tom's,5,NULL,"t""Amz"
tomtom,6,NULL,"t""Am.tAm"
tonalities,10,NULL,"ton.""al.@.4iz"
tonight's,9,NULL,"t@.n""aIts"
toolmaker,9,NULL,"t""ul.m%ek.@`"
toothcomb,9,NULL,"t""uT.k%om"
tootle,6,NULL,"t""u.4l="
topmast,7,NULL,"t""Ap.m%ast"
topographer,11,NULL,"tA.p""A.gr@.f@`"
Torino,6,NULL,"tO.r""i.no"
tormenters,10,NULL,"tOr.m""En4.@`z"
torridity,9,NULL,"tO.r""I4.@.4i"
totalistic,10,NULL,"t%o.4l=.""Ist.Ik"
totted,6,NULL,"t""A4.@d"
touchstones,11,NULL,"t""VtS.st%onz"
tourist's,9,NULL,"t""Ur.Ists"
tousle,6,NULL,"t""aU.zl="
tower's,7,NULL,"t""aU@`z"
townscape,9,NULL,"t""aUn.skep"
Townsend,8,NULL,"t""aUn.zEnd"
towrope,7,NULL,"t""o.r%op"
tradesfolk,10,NULL,"""tredz%fok"
traditionalistic,16,NULL,"tr@.d%I.Sn=.@l.""Ist.Ik"
traditionalized,15,NULL,"tr@.d""I.Sn=.@l.aIzd"
trainbearer,11,NULL,"tr""en.b%Er.@`"
tramcar,7,NULL,"tr""am.k%Ar"
transcultural,13,NULL,"trans.k""Vl.tS@`.@l"
transfered,10,NULL,"trans.f""3`d"
transferee,10,NULL,"tr%ans.f3`.""i"
transfigure,11,NULL,"trans.f""I.gj@`"
transfix,8,NULL,"trans.f""Iks"
transformable,13,NULL,"trans.f""Orm.@.bl="
Thoreau's,9,NULL,"T@`.r""oz"
translucency,12,NULL,"trans.l""u.sn=s.i"
transmigrate,12,NULL,"tr%ans.maI.gr""et"
transmissible,13,NULL,"trans.m""Is.@.bl="
transoms,8,NULL,"tr""an.sm=z"
transpiration,13,NULL,"tr%an.sp@r.""e.Sn="
transplantable,14,NULL,"trans.pl""an4.@.bl="
